,ranking,player,score
0,1,1.5cmAPO,395
1,2,1.5cmAPO,387
2,3,1.5cmAPO,384
3,4,1.5cmAPO,384
4,5,DEEZNUTS,382
5,6,Mr. EMRE,375
6,7,Mr. EMRE,374
7,8,1.5cmAPO,373
8,9,1.5cmAPO,373
9,10,Mike gun,367
10,11,Mr. EMRE,366
11,12,LAX,365
12,13,Mr. EMRE,365
13,14,saudi,364
14,15,Mr. EMRE,364
15,16,Mike gun,363
16,17,Mike gun,362
17,18,Mr. EMRE,362
18,19,LAX,361
19,20,Mike gun,360
20,21,Mr. EMRE,360
21,22,Dke,360
22,23,Mr. EMRE,360
23,24,1.5cmAPO,358
24,25,Dke,357
25,26,Mr. EMRE,356
26,27,Mike,354
27,28,FIFLIN,354
28,29,Ahmed ,352
29,30,Mr. EMRE,352
30,31,1.5cmAPO,352
31,32,Ahmed ,351
32,33,Hihehaha,349
33,34,Dke,348
34,35,Mr. EMRE,348
35,36,LAX,348
36,37,Ze,347
37,38,Bell,347
38,39,COWPOKE,347
39,40,Ahmed ,346
40,41,Mike gun,346
41,42,Dke,346
42,43,Slimysigma,346
43,44,Ahmed ,346
44,45,LTG,345
45,46,1.5cmAPO,345
46,47,Arthur.M,345
47,48,Mr. EMRE,344
48,49,Ahmed ,342
49,50,jeter,342
50,51,FIFLIN,341
51,52,1.5cmAPO,341
52,53,Tom,339
53,54,Dke,339
54,55,ValeN,338
55,56,LAX,337
56,57,Gunsman,337
57,58,Sethda9,336
58,59,LAX,335
59,60,Mike,334
60,61,saudi,334
61,62,Sethda9,333
62,63,saudi,333
63,64,Slimysigma,331
64,65,LAX,329
65,66,Ahmed ,328
66,67,1.5cmAPO,327
67,68,Noob,327
68,69,saudi,326
69,70,Dke,324
70,71,Mike,324
71,72,yoru,323
72,73,aldhair,322
73,74,yoru,322
74,75,直男,322
75,76,ltralha,321
76,77,igu,321
77,78,cruz,320
78,79,pão ,320
79,80,LTG,320
80,81,Gunslinger,319
81,82,Bell,319
82,83,EYÜP,318
83,84,Simen,318
84,85,hiagoooooo,318
85,86,GNIEWKOWO,317
86,87,Cowpoke,315
87,88,Mike,315
88,89,sky,314
89,90,brunin cho,314
90,91,KW2911,313
91,92,Sethda9,313
92,93,rzzinho_,313
93,94,LAX,312
94,95,saudi,312
95,96,FIFLIN,311
96,97,直男,310
97,98,Ahmed ,308
98,99,aldhair,308
99,100,Dsav,308
100,101,HIAGOOOOOO,308
101,102,Noob,307
102,103,mirkanana,307
103,104,Slimysigma,307
104,105,HIAGOOOOOO,307
105,106,bob,307
106,107,Dke,306
107,108,brunin cho,306
108,109,Noob,305
109,110,Gunsman,305
110,111,CLINT,305
111,112,@-star,304
112,113,rs,304
113,114,Skibidy to,303
114,115,Z,303
115,116,Coc,302
116,117,sigma,302
117,118,xvideosred,301
118,119,FIFLIN,301
119,120,xs,301
120,121,igu,301
121,122,FURKANKAZA,300
122,123,LUIZ,300
123,124,vempererek,300
124,125,FIFLIN,300
125,126,hudson,300
126,127,Daniel,300
127,128,Lebonbon,299
128,129,John.M,298
129,130,Ka a morte,298
130,131,andru,298
131,132,@-star,298
132,133,Jubileu ,297
133,134,Jubileu ,297
134,135,Ranger,296
135,136,[:,295
136,137,Liam,295
137,138,xvideosred,295
138,139,Gavin ,295
139,140,Sim,294
140,141,tomei,294
141,142,chuck,293
142,143,Dutch,293
143,144,Slimysigma,292
144,145,cor verbre,292
145,146,Saco619,292
146,147,OliveiraXV,292
147,148,😉😉,292
148,149,zairBR,292
149,150,Jeffolas,292
150,151,R1ke,291
151,152,saudi,290
152,153,cugrandao,290
153,154,Daniel,289
154,155,guilherme ,288
155,156,hiagoooooo,288
156,157,直男,288
157,158,Ameck16,288
158,159,krc,287
159,160,Simen,286
160,161,l,286
161,162,Malachi,285
162,163,robert,284
163,164,Reinan,283
164,165,Hihehaha,283
165,166,John.M,283
166,167,tyler g,283
167,168,VRossi,282
168,169,MƏHƏRRƏM ,281
169,170,jajco,281
170,171,rogal ,280
171,172,ez,280
172,173,marion,279
173,174,20tecomer,279
174,175,leleo,278
175,176,guilherme ,278
176,177,lukk,278
177,178,el bichito,278
178,179,ELGUETO11,277
179,180,Proni,277
180,181,gcc,277
181,182,eder,276
182,183,rubio,275
183,184,20tecomer,275
184,185,dioch,275
185,186,buznyák,274
186,187,SOKUCU,274
187,188,    Ezequi,274
188,189,Edward,273
189,190, trv  cyiv,273
190,191,chupapijas,273
191,192,Saco619,273
192,193,cnoa,272
193,194,Rizzler,272
194,195,Chango,272
195,196,Simen,271
196,197,BEN JÒOOO,271
197,198,Fabián Lea,270
198,199,Riicky,270
199,200,cnoa,270
