,ranking,player,score
0,1,URSO,424
1,2,Tallin,422
2,3,URSO,422
3,4,URSO,422
4,5,JakeVerda,420
5,6,URSO,420
6,7,URSO,419
7,8,URSO,419
8,9,JakeVerda,419
9,10,URSO,419
10,11,URSO,419
11,12,dev,418
12,13,JakeVerda,418
13,14,URSO,418
14,15,URSO,418
15,16,RASMUS,418
16,17,Bandi,418
17,18,PG Wagner,418
18,19,JakeVerda,417
19,20,URSO,417
20,21,JakeVerda,417
21,22,yves vg,417
22,23,URSO,417
23,24,URSO,417
24,25,URSO,416
25,26,tony,416
26,27,URSO,416
27,28,URSO,416
28,29,URSO,416
29,30,JakeVerda,416
30,31,JakeVerda,416
31,32,URSO,416
32,33,URSO,416
33,34,mouni,416
34,35,URSO,416
35,36,URSO,415
36,37,BrNn,415
37,38,URSO,415
38,39,URSO,415
39,40,URSO,415
40,41,PG Wagner,415
41,42,URSO,415
42,43,PG Wagner,415
43,44,PG Wagner,415
44,45,URSO,415
45,46,URSO,414
46,47,URSO,414
47,48,URSO,414
48,49,URSO,414
49,50,PG Wagner,414
50,51,URSO,414
51,52,URSO,414
52,53,tony,414
53,54,URSO,414
54,55,URSO,414
55,56,URSO,414
56,57,URSO,414
57,58,URSO,414
58,59,JakeVerda,414
59,60,URSO,414
60,61,URSO,413
61,62,tony,413
62,63,URSO,413
63,64,URSO,413
64,65,URSO,413
65,66,tony,413
66,67,URSO,413
67,68,URSO,413
68,69,URSO,413
69,70,URSO,413
70,71,URSO,413
71,72,URSO,413
72,73,URSO,413
73,74,URSO,413
74,75,BetonBandi,413
75,76,Tallin,413
76,77,URSO,413
77,78,CR7 GOAT,412
78,79,JakeVerda,412
79,80,URSO,412
80,81,URSO,412
81,82,URSO,412
82,83,URSO,412
83,84,URSO,412
84,85,JakeVerda,412
85,86,URSO,412
86,87,Tallin,412
87,88,URSO,412
88,89,URSO,412
89,90,JakeVerda,412
90,91,URSO,412
91,92,URSO,412
92,93,URSO,412
93,94,URSO,412
94,95,I did it,412
95,96,URSO,411
96,97,URSO,411
97,98,URSO,411
98,99,JakeVerda,411
99,100,URSO,411
100,101,URSO,411
101,102,URSO,411
102,103,URSO,411
103,104,URSO,411
104,105,URSO,411
105,106,URSO,411
106,107,PG Wagner,411
107,108,Antonhoved,411
108,109,URSO,411
109,110,URSO,411
110,111,URSO,411
111,112,Nikolos33,410
112,113,CasluBaita,410
113,114,Polaris,410
114,115,URSO,410
115,116,URSO,410
116,117,URSO,410
117,118,JakeVerda,410
118,119,PG Wagner,410
119,120,URSO,410
120,121,URSO,410
121,122,URSO,410
122,123,URSO,410
123,124,URSO,410
124,125,URSO,410
125,126,Hoffa,410
126,127,Ossian L,410
127,128,JakeVerda,410
128,129,tony,409
129,130,Tallin,409
130,131,Maika_Ming,409
131,132,URSO,409
132,133,tony,409
133,134,URSO,409
134,135,URSO,409
135,136,URSO,409
136,137,URSO,409
137,138,URSO,409
138,139,PG Wagner,409
139,140,URSO,409
140,141,URSO,409
141,142,pavel 302,409
142,143,LOVE,409
143,144,URSO,409
144,145,rbeaulier,409
145,146,URSO,409
146,147,bbq42069,409
147,148,tony,409
148,149,TheMachine,409
149,150,URSO,408
150,151,Verkku,408
151,152,URSO,408
152,153,URSO,408
153,154,URSO,408
154,155,Engstrøm,408
155,156,LOVE,408
156,157,URSO,408
157,158,URSO,408
158,159,URSO,408
159,160,PG Wagner,408
160,161,Jacob,408
161,162,JakeVerda,408
162,163,URSO,408
163,164,URSO,408
164,165,e.hgd3010,408
165,166,WoLF,408
166,167,URSO,408
167,168,JakeVerda,408
168,169,mouni,408
169,170,URSO,408
170,171,URSO,408
171,172,URSO,408
172,173,URSO,407
173,174,URSO,407
174,175,Hoffa,407
175,176,URSO,407
176,177,my spot :(,407
177,178,CasluBaita,407
178,179,URSO,407
179,180,URSO,407
180,181,URSO,407
181,182,URSO,407
182,183,Antonhoved,407
183,184,CARLOUCHE,407
184,185,JakeVerda,407
185,186,URSO,407
186,187,URSO,407
187,188,URSO,407
188,189,Emir Urak,407
189,190,URSO,407
190,191,URSO,407
191,192,URSO,407
192,193,URSO,407
193,194,DZARUL,407
194,195,PG Wagner,407
195,196,URSO,407
196,197,URSO,407
197,198,JakeVerda,407
198,199,MEPRO,407
199,200,RobTheBuil,407
